user_id,sku_id
106487,84544
107902,8710
141479,7877
164550,54357
51896,146926
72398,73250
157300,109954
212385,162344
169318,7196
31809,143527
171101,165997
158546,103114
30511,84544
194026,103372
53804,41009
217945,155692
28752,56737
230183,22140
46493,2148
68994,54357
160447,160686
222406,128286
187333,71848
37935,97007
59374,42440
71757,162344
52017,84544
49335,142174
215282,102226
497,71940
206180,38108
201409,7975
149598,32744
119359,14739
159611,97007
205104,160362
215064,54357
132988,79080
64145,135147
34489,152061
178157,14359
63420,43405
168832,104007
163020,54357
211903,37546
195293,8585
58762,162344
135335,14739
69385,134683
70739,45173
47328,95435
166390,82259
178835,71940
63268,84544
159173,79122
205412,1286
63912,130660
175638,146926
186342,54657
56398,169886
62253,56550
78341,162344
159176,8585
106354,37427
184211,102226
147531,162344
59745,84544
34359,90902
106353,71940
194711,6156
40031,45980
174390,8585
64449,2148
157218,27695
42514,42988
66411,56055
181906,45980
67626,75261
218772,170699
27088,31584
187071,82724
172552,63585
230025,70491
230760,32744
194223,8585
42978,139648
197089,54789
170594,87933
192274,81515
165055,8585
6897,37427
166588,54357
13395,65823
170131,79122
52334,124554
111330,71184
64670,135147
7517,37427
161773,166813
219430,90902
91995,138181
169539,112141
173910,4732
114178,56608
62426,82259
221657,162344
161930,43405
71424,22140
65470,95435
193826,58277
109002,104297
12455,119954
60369,170626
172571,74527
218120,95435
199079,112550
170387,82481
169541,41009
114831,79122
178578,22140
55433,1286
153163,169886
168140,7975
213569,8585
180775,93545
170588,112550
86741,3752
73303,109954
68658,123111
220276,56608
63213,149462
37012,4732
222981,8585
170242,12272
111858,71651
181602,86449
58673,122369
161249,146926
161950,136218
147346,148549
3711,29827
64161,82259
12363,8585
85289,112550
190998,71940
30162,134818
182208,71940
195505,123111
41376,82481
145582,136218
17339,149462
183390,54357
104882,61963
174229,82259
120892,171183
173776,64160
68100,152061
168672,71940
164427,168581
178930,2072
204299,4732
23837,43405
60350,42988
229131,126267
86007,43405
219966,5874
194384,146926
32134,4732
141320,8585
7395,82259
166252,159601
218913,109954
214854,37427
184723,43405
177439,71940
195601,79122
15633,37427
8415,9069
58796,45173
83705,43110
222593,47563
558,150041
161062,79122
1454,81838
154141,71940
221183,61963
5229,71184
162529,84544
78826,131210
196755,4732
39976,5916
208064,42988
173246,54357
72440,112550
8018,42988
97430,103201
195842,79080
187827,129442
32952,111017
224096,8585
167048,79122
34310,2148
62351,153817
165756,92192
57402,22140
112515,8832
85496,155692
73258,84412
204625,97007
64412,8585
30827,22886
65143,96941
169214,87933
56376,9159
34044,45980
113660,65174
63908,140061
205941,121196
135973,156650
185756,53945
38866,79080
24013,61963
57525,134748
46831,22140
224533,22140
71154,37057
32567,91922
217193,160686
160552,107700
184137,54357
54660,8710
33764,1286
65134,2148
153351,8585
55602,2148
177185,32744
70261,22140
148998,54357
47249,32744
50570,71940
44576,150041
46921,2072
147988,146926
214148,62080
67879,63585
67208,32744
73628,84544
179168,70491
144910,42440
88722,117692
162703,45980
33578,23860
34288,8710
36774,45980
38531,77745
193132,146230
119981,82259
24235,56608
54863,45173
155696,165997
44342,84544
195291,71940
194935,71184
215037,98989
51527,1286
70078,27231
11532,11709
175427,170626
149876,54209
100529,136632
34320,84544
17530,96941
10477,36787
77380,8585
176576,91922
185125,42988
29148,8585
75017,22140
9263,90902
42227,146353
155163,81163
207748,71940
180046,79122
51222,7196
61606,70593
191912,123111
50539,71940
229783,160362
2930,79122
159371,82259
195434,87933
70280,162344
219291,149014
194251,87933
195029,71940
63864,150041
189375,4732
56857,2148
96634,50142
102550,160362
159084,5916
184561,2148
215082,156
174636,56055
7366,37268
167181,71184
163777,158018
28071,32744
230109,90902
35341,2148
192070,9069
198011,56608
217910,102226
23275,162344
45355,83347
195370,61963
72329,81515
202439,41103
47463,170626
180836,162344
83008,167139
47064,134748
195089,143289
15560,8585
162888,8585
13995,81515
54910,2148
186433,146926
161880,2448
25263,136218
25319,100251
153042,8585
25458,2101
171407,7877
53646,71184
40659,134817
30997,123111
40539,105352
167255,91048
143883,32744
68059,42988
182380,42838
73265,8585
133692,130660
164493,123111
38663,77745
143558,56737
177216,97007
186882,65174
36502,112550
219824,80497
18270,149462
68200,77745
41308,34330
148649,64709
48465,58768
209626,10180
165683,112068
73708,171183
35506,63585
194768,61963
186546,54357
226552,162344
158827,112550
140171,89629
148756,56608
58778,29748
64121,37546
158054,160686
147053,32744
145075,106472
193627,54357
156136,53150
187401,117692
60065,134452
163919,124032
211919,71940
120905,54357
86517,8585
150943,43256
170942,109954
140142,64160
64871,162344
206278,71940
62516,22140
70433,106586
150405,92192
39426,136218
207305,37427
182176,2148
218149,23860
178264,44605
53774,22140
57359,54357
192575,2148
17646,54357
16833,2148
61846,2148
166370,146230
124319,160362
223505,7975
173181,32744
109919,8585
232301,51916
67012,112550
179258,107700
73251,24062
65663,8585
10715,170699
187150,136218
216586,104297
3429,2148
65709,71184
185375,41512
157049,153807
2132,82259
193557,3410
221541,71651
192684,79122
184212,2148
89348,7877
183319,102468
168494,61963
174930,87933
57567,2448
31932,15828
8801,84544
60650,102468
189882,80128
57984,80497
200610,223
104462,74861
97154,2148
184232,8832
29109,102166
192320,96941
72304,168581
57193,42440
33573,41618
191294,111017
47035,11876
25452,56550
100262,43737
