user_id,sku_id
13995,81515
205941,121196
65134,2148
212385,162344
72398,73250
52017,84544
28752,56737
219291,149014
192070,9069
187333,71848
141479,7877
163020,54357
214148,62080
53927,79122
158546,103114
215064,54357
224533,22140
177185,32744
68994,54357
58762,162344
23837,43405
187395,169620
69385,134683
62426,82259
67225,106912
2236,8585
169318,7196
204127,2148
48465,58768
497,71940
181906,45980
25886,50142
181602,86449
12455,119954
180046,79122
191294,111017
154708,84544
10086,127931
230109,90902
119359,14739
168672,71940
59745,84544
207319,64160
170387,82481
148998,54357
63213,149462
217945,155692
230183,22140
215037,98989
60369,170626
201986,64709
9370,32744
24013,61963
194026,103372
3577,149462
167181,71184
162529,84544
158701,8821
197089,54789
172571,74527
204299,4732
66411,56055
164820,103707
53804,41009
161773,166813
165055,8585
70739,45173
174390,8585
164550,54357
2022,42988
160363,78285
64145,135147
104032,84544
217910,102226
26818,105031
7126,41547
60065,134452
221183,61963
174636,56055
55602,2148
104882,61963
169850,7975
160447,160686
151565,111017
57525,134748
63268,84544
138197,7877
228893,61963
71757,162344
65143,96941
107902,8710
220716,8585
114831,79122
216402,15821
59374,42440
163998,15168
228767,103114
229131,126267
161880,2448
47328,95435
25319,100251
218149,23860
62637,8585
15859,160686
78341,162344
22673,54357
175870,71940
100529,136632
6897,37427
42978,139648
215282,102226
161264,71940
171101,165997
180751,8585
228945,79673
58078,71184
64449,2148
52334,124554
15714,65755
120892,171183
30511,84544
219430,90902
86007,43405
161183,8585
16761,71184
183465,79122
22668,77745
133078,8585
149598,32744
207428,102166
49335,142174
164427,168581
220081,22140
58673,122369
170020,14359
165429,124554
151279,77745
8650,54657
22549,167084
114178,56608
28955,22140
232301,51916
42511,123430
38663,77745
25452,56550
55433,1286
49246,7877
179168,70491
184723,43405
114765,2148
205412,1286
28917,54357
32567,91922
40031,45980
173181,32744
85119,45669
65470,95435
106487,84544
22616,168434
8415,9069
58905,71940
231267,1286
3746,71940
15560,8585
13395,65823
12596,27231
72886,112141
186081,41958
23503,109417
222406,128286
29998,37057
158328,51916
143883,32744
51896,146926
184211,102226
63912,130660
26978,112141
164120,42988
40248,80497
222593,47563
12363,8585
54660,8710
184289,131210
178157,14359
173776,64160
219966,5874
